"id","Type","Flavor","Filling","Size","Layers","Frosting Type","Frosting Flavor","Decoration Type","Decoration Color","Custom Message","Shape","Allergies","Special Ingredients","Packaging Type","Price","Quantity"
"132","Carrot","Caramel","Ganache","20","3","Buttercream","Pineapple","Fondant Figures","Purple","Happy Anniversary","Round","Dairy-Free","Organic","Luxury Box with Ribbon","56","4"
"133","Red Velvet","Red Velvet","Cream Cheese","8","4","Buttercream","Lemon","Edible Glitter","Gold","Happy Birthday","Oval","Gluten-Free","Organic","Luxury Box with Ribbon","49","2"
"134","Marble","Lemon","Mousse","8","1","Fondant","Red Velvet","Edible Flowers","Brown","Congratulations","Rectangle","Dairy-Free","Organic","Standard Box with Ribbon","102","2"
"135","Coffee","Strawberry","Mousse","30","3","Whipped Cream","Vanilla","Gold Flakes","Yellow","Just Married","Round","Gluten-Free","None","Standard Box with Ribbon","142","2"
"136","Red Velvet","Caramel","Ganache","8","3","Whipped Cream","Pineapple","Gold Flakes","Silver","Congratulations","Heart-Shaped","Nut-Free","None","Standard Box","57","4"
"137","Coffee","Pineapple","Mousse","30","3","Ganache","Lemon","Fruit Slices","Purple","Just Married","Oval","Gluten-Free","None","Standard Box","169","3"
"138","Marble","Vanilla","Ganache","20","1","Whipped Cream","Pineapple","Edible Glitter","White","Happy Anniversary","Oval","Nut-Free","None","Standard Box","78","4"
"139","Fruit","Chocolate","Custard","15","3","Ganache","Vanilla","Fruit Slices","Gold","Happy Birthday","Oval","None","None","Standard Box","56","3"
"140","Fruit","Lemon","Custard","25","2","Fondant","Caramel","Edible Flowers","Brown","Happy Anniversary","Rectangle","Gluten-Free","None","Luxury Box with Ribbon","94","3"
"141","Chocolate","Coffee","Mousse","25","1","Ganache","Coffee","Fruit Slices","White","Best Wishes","Rectangle","Nut-Free","Organic","Luxury Box with Ribbon","186","3"
"142","Carrot","Caramel","Cream","25","1","Buttercream","Chocolate","Edible Glitter","Gold","Happy Birthday","Round","Dairy-Free","None","Standard Box with Ribbon","65","1"
"143","Carrot","Lemon","Fruit","8","3","Buttercream","Red Velvet","Fruit Slices","Purple","Happy Birthday","Heart-Shaped","None","None","Standard Box","35","3"
"144","Sponge","Pineapple","Cream","30","1","Buttercream","Strawberry","Fruit Slices","Multi-color","Thank You","Rectangle","Dairy-Free","Organic","Standard Box","155","4"
"145","Carrot","Red Velvet","Jam","15","4","Ganache","Vanilla","Edible Flowers","Multi-color","Happy Anniversary","Round","Gluten-Free","Organic","Luxury Box with Ribbon","129","3"
"146","Birthday","Pineapple","Jam","15","1","Fondant","Strawberry","Edible Flowers","Brown","Best Wishes","Heart-Shaped","Gluten-Free","Organic","Standard Box","123","1"
"147","Birthday","Vanilla","Mousse","30","4","Whipped Cream","Coffee","Edible Glitter","Multi-color","Happy Birthday","Oval","Nut-Free","Organic","Luxury Box with Ribbon","149","1"
"148","Red Velvet","Red Velvet","Jam","25","3","Whipped Cream","Caramel","Edible Glitter","Yellow","Best Wishes","Heart-Shaped","Dairy-Free","None","Luxury Box","109","1"
"149","Birthday","Strawberry","Mousse","20","4","Fondant","Lemon","Gold Flakes","Purple","Happy Birthday","Heart-Shaped","None","None","Standard Box with Ribbon","99","5"
"150","Chocolate","Lemon","Mousse","8","1","Ganache","Caramel","Fruit Slices","Gold","Best Wishes","Square","Dairy-Free","Organic","Luxury Box with Ribbon","172","3"
"151","Fruit","Lemon","Jam","20","4","Fondant","Pineapple","Edible Flowers","Pink","Best Wishes","Rectangle","Gluten-Free","None","Standard Box","58","5"
"152","Chocolate","Pineapple","Custard","25","1","Ganache","Red Velvet","Edible Flowers","Blue","Best Wishes","Round","Dairy-Free","Organic","Luxury Box with Ribbon","69","5"
"153","Chocolate","Strawberry","Fruit","30","3","Ganache","Pineapple","Sprinkles","Red","Best Wishes","Oval","None","Organic","Standard Box with Ribbon","123","4"
"154","Birthday","Lemon","Mousse","25","3","Ganache","Pineapple","Edible Glitter","Brown","Best Wishes","Rectangle","Dairy-Free","Organic","Standard Box","71","3"
"155","Chocolate","Lemon","Jam","20","3","Fondant","Lemon","Fondant Figures","Red","Thank You","Round","Dairy-Free","Organic","Standard Box","165","2"
"156","Sponge","Red Velvet","Cream Cheese","20","1","Ganache","Chocolate","Fruit Slices","Pink","Happy Birthday","Square","Nut-Free","None","Luxury Box","162","1"
"157","Carrot","Red Velvet","Mousse","25","2","Ganache","Caramel","Edible Glitter","Pink","Thank You","Oval","None","Organic","Luxury Box","62","4"
"158","Red Velvet","Pineapple","Ganache","15","4","Buttercream","Pineapple","Fruit Slices","Blue","Happy Birthday","Oval","Gluten-Free","None","Luxury Box with Ribbon","179","5"
"159","Fruit","Lemon","Custard","25","3","Whipped Cream","Coffee","Gold Flakes","Blue","Thank You","Heart-Shaped","Nut-Free","None","Luxury Box with Ribbon","30","3"
"160","Coffee","Red Velvet","Cream","8","3","Fondant","Pineapple","Edible Glitter","Gold","Just Married","Rectangle","Nut-Free","None","Standard Box with Ribbon","195","3"
"161","Sponge","Red Velvet","Custard","30","3","Fondant","Vanilla","Sprinkles","Purple","Congratulations","Round","None","None","Standard Box","186","4"
"162","Fruit","Strawberry","Ganache","15","2","Whipped Cream","Strawberry","Fruit Slices","Gold","Just Married","Oval","Gluten-Free","None","Luxury Box","40","1"
"163","Red Velvet","Lemon","Custard","20","4","Fondant","Coffee","Edible Flowers","Red","Just Married","Oval","None","Organic","Luxury Box","130","1"
"164","Chocolate","Chocolate","Cream Cheese","20","2","Buttercream","Strawberry","Fruit Slices","Pink","Happy Anniversary","Round","Nut-Free","Organic","Standard Box with Ribbon","143","4"
"165","Fruit","Caramel","Custard","20","2","Buttercream","Pineapple","Edible Glitter","Purple","Thank You","Round","Nut-Free","None","Standard Box with Ribbon","192","5"
"166","Coffee","Chocolate","Custard","15","3","Whipped Cream","Red Velvet","Edible Glitter","Pink","Best Wishes","Rectangle","Nut-Free","Organic","Luxury Box with Ribbon","181","5"
"167","Birthday","Pineapple","Mousse","25","3","Ganache","Pineapple","Fondant Figures","Multi-color","Happy Birthday","Round","Nut-Free","None","Luxury Box with Ribbon","34","3"
"168","Chocolate","Pineapple","Fruit","15","3","Fondant","Lemon","Fondant Figures","Pink","Congratulations","Oval","Gluten-Free","Organic","Luxury Box with Ribbon","49","1"
"169","Red Velvet","Strawberry","Ganache","20","1","Ganache","Caramel","Edible Glitter","Yellow","Happy Anniversary","Oval","Dairy-Free","None","Standard Box with Ribbon","193","2"
"170","Marble","Caramel","Fruit","20","2","Fondant","Red Velvet","Edible Flowers","Multi-color","Best Wishes","Square","Gluten-Free","None","Standard Box with Ribbon","141","1"
"171","Red Velvet","Strawberry","Jam","8","1","Buttercream","Coffee","Gold Flakes","Multi-color","Thank You","Round","Dairy-Free","Organic","Luxury Box with Ribbon","118","5"
"172","Marble","Vanilla","Cream Cheese","8","3","Buttercream","Chocolate","Sprinkles","Yellow","Just Married","Heart-Shaped","None","Organic","Luxury Box with Ribbon","108","4"
"173","Marble","Red Velvet","Mousse","8","4","Whipped Cream","Pineapple","Edible Glitter","Silver","Happy Anniversary","Square","Gluten-Free","Organic","Standard Box with Ribbon","114","2"
"174","Fruit","Strawberry","Cream Cheese","8","2","Ganache","Pineapple","Edible Glitter","Red","Best Wishes","Oval","Gluten-Free","Organic","Standard Box with Ribbon","164","2"
"175","Sponge","Vanilla","Ganache","15","3","Ganache","Pineapple","Fondant Figures","Red","Congratulations","Round","Dairy-Free","None","Luxury Box","72","4"
"176","Chocolate","Red Velvet","Custard","20","2","Fondant","Strawberry","Edible Flowers","Brown","Congratulations","Square","None","Organic","Luxury Box","79","5"
"177","Red Velvet","Lemon","Custard","30","2","Fondant","Strawberry","Sprinkles","Red","Best Wishes","Square","Gluten-Free","None","Standard Box with Ribbon","129","4"
"178","Coffee","Caramel","Custard","15","1","Fondant","Pineapple","Edible Flowers","Multi-color","Congratulations","Oval","Nut-Free","Organic","Luxury Box with Ribbon","115","1"
"179","Marble","Red Velvet","Jam","25","1","Ganache","Chocolate","Fondant Figures","Gold","Best Wishes","Round","Gluten-Free","Organic","Luxury Box","126","2"
"180","Coffee","Red Velvet","Ganache","15","1","Ganache","Red Velvet","Gold Flakes","Yellow","Thank You","Heart-Shaped","Nut-Free","None","Luxury Box","39","2"
"181","Red Velvet","Coffee","Mousse","20","3","Ganache","Vanilla","Gold Flakes","Red","Happy Anniversary","Heart-Shaped","Gluten-Free","Organic","Standard Box with Ribbon","76","5"
"182","Chocolate","Pineapple","Mousse","25","1","Whipped Cream","Vanilla","Fruit Slices","Blue","Thank You","Round","Gluten-Free","None","Standard Box with Ribbon","123","3"
"183","Chocolate","Lemon","Jam","30","3","Buttercream","Vanilla","Edible Flowers","Multi-color","Congratulations","Heart-Shaped","None","Organic","Luxury Box with Ribbon","36","1"
"184","Coffee","Vanilla","Mousse","30","2","Fondant","Lemon","Fondant Figures","Multi-color","Happy Anniversary","Heart-Shaped","Dairy-Free","None","Standard Box with Ribbon","110","4"
"185","Red Velvet","Lemon","Fruit","20","4","Fondant","Red Velvet","Fondant Figures","Yellow","Congratulations","Round","Gluten-Free","None","Standard Box with Ribbon","143","4"
"186","Carrot","Lemon","Cream","30","3","Whipped Cream","Strawberry","Fondant Figures","Multi-color","Happy Anniversary","Round","Dairy-Free","Organic","Luxury Box","174","1"
"187","Marble","Pineapple","Custard","20","1","Buttercream","Lemon","Fondant Figures","Multi-color","Happy Anniversary","Heart-Shaped","Dairy-Free","Organic","Standard Box","129","4"
"188","Sponge","Strawberry","Ganache","25","3","Fondant","Lemon","Gold Flakes","Yellow","Happy Anniversary","Oval","Nut-Free","Organic","Standard Box with Ribbon","112","4"
"189","Sponge","Lemon","Cream","15","4","Fondant","Red Velvet","Fruit Slices","Yellow","Congratulations","Heart-Shaped","Gluten-Free","None","Standard Box","42","5"
"190","Red Velvet","Lemon","Fruit","25","4","Buttercream","Caramel","Fruit Slices","Pink","Happy Birthday","Heart-Shaped","Dairy-Free","None","Standard Box with Ribbon","167","1"
"191","Coffee","Red Velvet","Fruit","25","3","Buttercream","Lemon","Fruit Slices","Brown","Best Wishes","Rectangle","Dairy-Free","Organic","Standard Box","95","1"
"192","Red Velvet","Pineapple","Cream","20","4","Ganache","Lemon","Fondant Figures","Multi-color","Best Wishes","Round","Dairy-Free","Organic","Luxury Box with Ribbon","144","3"
"193","Birthday","Caramel","Jam","25","2","Buttercream","Vanilla","Edible Flowers","Yellow","Happy Anniversary","Round","Nut-Free","None","Standard Box","50","5"
"194","Marble","Lemon","Fruit","30","1","Fondant","Red Velvet","Fruit Slices","Blue","Happy Birthday","Oval","Gluten-Free","Organic","Standard Box with Ribbon","199","2"
"195","Fruit","Red Velvet","Cream Cheese","20","1","Whipped Cream","Chocolate","Sprinkles","Silver","Best Wishes","Oval","Dairy-Free","Organic","Standard Box","144","1"
"196","Carrot","Pineapple","Cream","8","2","Whipped Cream","Red Velvet","Edible Glitter","Yellow","Congratulations","Heart-Shaped","Gluten-Free","None","Luxury Box","140","5"
"197","Coffee","Vanilla","Ganache","15","2","Ganache","Caramel","Gold Flakes","Brown","Just Married","Round","Dairy-Free","Organic","Standard Box with Ribbon","188","5"
"198","Chocolate","Pineapple","Cream","8","3","Whipped Cream","Lemon","Sprinkles","Pink","Congratulations","Oval","Dairy-Free","Organic","Luxury Box with Ribbon","98","5"
"199","Sponge","Red Velvet","Cream Cheese","8","1","Whipped Cream","Pineapple","Fondant Figures","Pink","Happy Birthday","Round","None","None","Standard Box","186","2"
"200","Red Velvet","Coffee","Fruit","8","2","Buttercream","Caramel","Fondant Figures","Blue","Congratulations","Rectangle","None","Organic","Standard Box with Ribbon","84","4"
"201","Red Velvet","Chocolate","Jam","30","1","Ganache","Chocolate","Fondant Figures","Pink","Congratulations","Round","Dairy-Free","Organic","Standard Box with Ribbon","146","4"
"202","Sponge","Lemon","Cream Cheese","15","3","Buttercream","Pineapple","Edible Flowers","Multi-color","Congratulations","Oval","Gluten-Free","None","Luxury Box with Ribbon","121","2"
"203","Red Velvet","Lemon","Cream","8","2","Whipped Cream","Caramel","Edible Flowers","Blue","Happy Birthday","Round","None","None","Standard Box with Ribbon","175","1"
"204","Fruit","Caramel","Ganache","15","1","Whipped Cream","Coffee","Fondant Figures","Brown","Happy Birthday","Round","Gluten-Free","None","Standard Box","168","4"
"205","Chocolate","Vanilla","Custard","20","4","Ganache","Chocolate","Fruit Slices","Multi-color","Happy Birthday","Rectangle","Nut-Free","Organic","Standard Box","196","3"
"206","Coffee","Caramel","Ganache","30","1","Fondant","Chocolate","Fruit Slices","Yellow","Thank You","Round","Dairy-Free","None","Luxury Box with Ribbon","45","2"
"207","Carrot","Lemon","Fruit","25","2","Buttercream","Strawberry","Fruit Slices","White","Congratulations","Rectangle","None","Organic","Standard Box with Ribbon","47","1"
"208","Chocolate","Red Velvet","Fruit","25","2","Buttercream","Caramel","Edible Flowers","Purple","Thank You","Square","Nut-Free","None","Luxury Box","186","3"
"209","Red Velvet","Red Velvet","Mousse","8","2","Buttercream","Caramel","Fruit Slices","Multi-color","Best Wishes","Round","None","None","Standard Box with Ribbon","40","4"
"210","Birthday","Vanilla","Custard","15","2","Ganache","Lemon","Fondant Figures","White","Best Wishes","Square","Nut-Free","Organic","Luxury Box with Ribbon","77","4"
"211","Marble","Vanilla","Mousse","30","2","Whipped Cream","Pineapple","Edible Glitter","White","Best Wishes","Oval","Dairy-Free","Organic","Luxury Box with Ribbon","86","3"
"212","Chocolate","Lemon","Cream Cheese","30","4","Fondant","Coffee","Edible Flowers","Purple","Happy Anniversary","Rectangle","Dairy-Free","None","Luxury Box with Ribbon","192","3"
"213","Red Velvet","Strawberry","Mousse","20","2","Ganache","Strawberry","Fruit Slices","Gold","Just Married","Rectangle","Nut-Free","Organic","Luxury Box with Ribbon","138","5"
"214","Birthday","Chocolate","Ganache","25","1","Fondant","Chocolate","Fondant Figures","Brown","Happy Birthday","Square","Gluten-Free","None","Luxury Box with Ribbon","103","2"
"215","Fruit","Chocolate","Cream","15","3","Whipped Cream","Chocolate","Edible Glitter","Red","Just Married","Heart-Shaped","None","None","Luxury Box with Ribbon","180","4"
"216","Sponge","Coffee","Fruit","15","2","Buttercream","Red Velvet","Edible Flowers","White","Happy Birthday","Square","None","None","Standard Box","92","5"
"217","Red Velvet","Strawberry","Cream Cheese","20","2","Fondant","Vanilla","Edible Glitter","Red","Happy Anniversary","Rectangle","Gluten-Free","Organic","Luxury Box","32","2"
"218","Sponge","Lemon","Ganache","30","2","Fondant","Red Velvet","Fruit Slices","Pink","Best Wishes","Heart-Shaped","None","Organic","Standard Box","104","1"
"219","Sponge","Coffee","Custard","15","3","Ganache","Vanilla","Sprinkles","Yellow","Happy Anniversary","Oval","Dairy-Free","None","Luxury Box","170","3"
"220","Coffee","Pineapple","Custard","8","1","Whipped Cream","Chocolate","Edible Flowers","Purple","Congratulations","Round","None","None","Luxury Box","70","5"
"221","Chocolate","Coffee","Jam","15","2","Ganache","Red Velvet","Sprinkles","Pink","Thank You","Round","Dairy-Free","Organic","Standard Box","183","5"
"222","Marble","Red Velvet","Fruit","30","3","Ganache","Caramel","Fruit Slices","White","Happy Birthday","Square","Gluten-Free","None","Standard Box with Ribbon","188","3"
"223","Chocolate","Red Velvet","Custard","25","2","Fondant","Chocolate","Edible Flowers","Blue","Thank You","Round","Gluten-Free","Organic","Luxury Box","64","5"
"224","Birthday","Strawberry","Cream Cheese","8","3","Fondant","Strawberry","Edible Flowers","Yellow","Just Married","Square","None","None","Luxury Box with Ribbon","169","3"
"225","Coffee","Caramel","Ganache","30","3","Fondant","Pineapple","Fruit Slices","White","Just Married","Oval","Dairy-Free","None","Standard Box","107","1"
"226","Marble","Vanilla","Mousse","30","4","Buttercream","Red Velvet","Edible Glitter","Blue","Happy Birthday","Round","Nut-Free","None","Standard Box with Ribbon","83","1"
"227","Chocolate","Red Velvet","Cream Cheese","25","4","Fondant","Strawberry","Gold Flakes","Blue","Just Married","Oval","Dairy-Free","Organic","Standard Box with Ribbon","44","1"
"228","Fruit","Pineapple","Mousse","20","4","Fondant","Vanilla","Fruit Slices","Gold","Best Wishes","Square","Dairy-Free","None","Luxury Box","176","1"
"229","Birthday","Caramel","Cream Cheese","8","3","Ganache","Caramel","Fruit Slices","Multi-color","Happy Anniversary","Rectangle","Gluten-Free","None","Luxury Box with Ribbon","118","2"
"230","Carrot","Chocolate","Ganache","20","1","Fondant","Lemon","Fondant Figures","Blue","Just Married","Round","Gluten-Free","Organic","Luxury Box","129","1"
"231","Sponge","Vanilla","Cream Cheese","15","2","Ganache","Coffee","Fondant Figures","Yellow","Thank You","Square","Dairy-Free","None","Standard Box with Ribbon","128","1"
"232","Chocolate","Strawberry","Jam","30","3","Fondant","Pineapple","Gold Flakes","Silver","Just Married","Square","Dairy-Free","None","Luxury Box with Ribbon","37","4"
"233","Coffee","Vanilla","Cream Cheese","25","4","Fondant","Vanilla","Gold Flakes","Pink","Congratulations","Oval","Dairy-Free","Organic","Luxury Box","50","4"
"234","Sponge","Chocolate","Custard","8","4","Ganache","Chocolate","Fondant Figures","Multi-color","Just Married","Oval","None","None","Standard Box","88","3"
"235","Fruit","Strawberry","Ganache","15","2","Fondant","Caramel","Edible Flowers","White","Thank You","Round","Gluten-Free","None","Luxury Box","114","2"
"236","Sponge","Coffee","Mousse","20","4","Whipped Cream","Caramel","Edible Glitter","Blue","Congratulations","Oval","Gluten-Free","Organic","Standard Box","200","1"
"237","Sponge","Chocolate","Ganache","20","3","Ganache","Chocolate","Gold Flakes","Brown","Congratulations","Heart-Shaped","None","Organic","Standard Box","67","3"
"238","Carrot","Strawberry","Cream Cheese","20","4","Buttercream","Strawberry","Fondant Figures","Brown","Best Wishes","Rectangle","Nut-Free","Organic","Luxury Box with Ribbon","59","1"
"239","Sponge","Red Velvet","Cream Cheese","25","3","Ganache","Coffee","Fruit Slices","Silver","Happy Anniversary","Rectangle","Nut-Free","Organic","Standard Box with Ribbon","186","5"
"240","Fruit","Pineapple","Cream","25","3","Ganache","Strawberry","Fondant Figures","Gold","Thank You","Heart-Shaped","Gluten-Free","None","Luxury Box with Ribbon","156","5"
"241","Fruit","Red Velvet","Cream","30","3","Fondant","Pineapple","Gold Flakes","Pink","Happy Anniversary","Heart-Shaped","Nut-Free","None","Standard Box","146","2"
"242","Coffee","Vanilla","Mousse","15","4","Buttercream","Lemon","Fruit Slices","White","Thank You","Oval","None","Organic","Luxury Box","76","1"
"243","Sponge","Pineapple","Ganache","20","3","Ganache","Lemon","Sprinkles","Blue","Happy Birthday","Heart-Shaped","None","None","Standard Box","138","1"
"244","Birthday","Lemon","Cream Cheese","8","4","Whipped Cream","Strawberry","Fruit Slices","Multi-color","Just Married","Rectangle","Nut-Free","Organic","Luxury Box","34","2"
"245","Chocolate","Lemon","Cream Cheese","25","4","Whipped Cream","Pineapple","Gold Flakes","Red","Happy Birthday","Oval","None","None","Luxury Box","119","2"
"246","Coffee","Coffee","Cream Cheese","25","2","Whipped Cream","Coffee","Edible Glitter","Red","Congratulations","Rectangle","Dairy-Free","None","Luxury Box with Ribbon","164","4"
"247","Red Velvet","Lemon","Custard","30","1","Fondant","Chocolate","Gold Flakes","Blue","Congratulations","Square","None","Organic","Luxury Box","111","2"
"248","Carrot","Strawberry","Mousse","8","1","Whipped Cream","Coffee","Edible Glitter","White","Congratulations","Round","Gluten-Free","None","Luxury Box","144","3"
"249","Coffee","Chocolate","Fruit","25","3","Buttercream","Caramel","Fondant Figures","Red","Congratulations","Rectangle","None","Organic","Standard Box with Ribbon","199","5"
"250","Birthday","Pineapple","Fruit","15","4","Ganache","Strawberry","Fruit Slices","Multi-color","Best Wishes","Oval","Dairy-Free","None","Standard Box","73","4"
"251","Red Velvet","Strawberry","Fruit","15","3","Buttercream","Lemon","Edible Glitter","Silver","Happy Birthday","Rectangle","None","None","Luxury Box with Ribbon","35","4"
"252","Birthday","Lemon","Cream","8","1","Fondant","Pineapple","Fondant Figures","Pink","Happy Birthday","Heart-Shaped","Dairy-Free","None","Standard Box with Ribbon","170","1"
"253","Carrot","Caramel","Fruit","20","4","Whipped Cream","Pineapple","Sprinkles","Yellow","Happy Birthday","Rectangle","None","Organic","Standard Box with Ribbon","92","2"
"254","Carrot","Pineapple","Cream Cheese","20","4","Ganache","Pineapple","Sprinkles","Blue","Happy Anniversary","Round","Gluten-Free","None","Luxury Box with Ribbon","32","1"
"255","Coffee","Lemon","Cream","25","1","Whipped Cream","Strawberry","Edible Glitter","White","Congratulations","Rectangle","None","Organic","Standard Box","73","3"
"256","Red Velvet","Chocolate","Jam","25","1","Whipped Cream","Vanilla","Fruit Slices","Yellow","Best Wishes","Oval","Dairy-Free","Organic","Standard Box with Ribbon","70","1"
"257","Marble","Chocolate","Jam","25","4","Buttercream","Coffee","Fruit Slices","Pink","Just Married","Heart-Shaped","Dairy-Free","None","Luxury Box","63","3"
"258","Red Velvet","Red Velvet","Cream Cheese","20","1","Ganache","Red Velvet","Edible Flowers","Multi-color","Happy Anniversary","Square","Gluten-Free","Organic","Standard Box with Ribbon","57","1"
"259","Sponge","Caramel","Mousse","30","4","Ganache","Red Velvet","Gold Flakes","Pink","Happy Anniversary","Square","None","Organic","Standard Box","146","1"
"260","Fruit","Pineapple","Custard","30","4","Whipped Cream","Chocolate","Sprinkles","White","Thank You","Square","None","Organic","Standard Box with Ribbon","151","2"
"261","Fruit","Red Velvet","Custard","25","2","Ganache","Pineapple","Gold Flakes","Gold","Happy Anniversary","Rectangle","Gluten-Free","None","Standard Box","154","4"
"262","Chocolate","Vanilla","Custard","25","3","Whipped Cream","Strawberry","Gold Flakes","White","Congratulations","Square","Dairy-Free","Organic","Standard Box","97","3"
